,date,description,ticker,time
0,Apr-16-21,Leaked ByteDance Memo Shows Blockbuster Revenue Projections,fb,02:27AM
1,Apr-16-21,Apples New Privacy Zeal Is a Threat to Small App Developers,fb,01:00AM
2,Apr-15-21,Dow Jones Futures: Stock Market Rally Rebounds As Treasury Yields Plunge; 3 Tech Giants Flash Buy Signals,fb,10:33PM
3,Apr-15-21,U.S. Exposes Hackers Helpers to Punish Russian Attacks,fb,06:17PM
4,Apr-15-21,Facebook (FB) Outpaces Stock Market Gains: What You Should Know,fb,05:45PM
5,Apr-15-21,UPDATE 1-U.S. House committee approves blueprint for Big Tech crackdown,fb,02:37PM
6,Apr-15-21,Facebook Testing Biz Discovery Via News Feed,fb,02:30PM
7,Apr-15-21,CCFC Calls For Mark Zuckerberg To Withdraw Instagram Kids: Reuters,fb,01:46PM
8,Apr-15-21,These Are The 5 Best Stocks To Buy And Watch Now,fb,11:18AM
9,Apr-15-21,Facebook's (FB) Instagram Launches Test to Hide Likes on Posts,fb,11:13AM
10,Apr-15-21,Top stocks to watch as earnings season kicks off,fb,10:10AM
11,Apr-15-21,Google Commits Millions for Vaccine Shots and Online PSAs,fb,10:00AM
12,Apr-15-21,Advocacy group urges Zuckerberg to cancel plans to launch Instagram for kids,fb,09:08AM
13,Apr-15-21,Facebook Inks Renewal Energy Supply Agreement For India's Electrical Grid: Reuters,fb,09:00AM
14,Apr-15-21,"Facebook hits 100% renewable energy target early, still faces heat for climate-change denial on site",fb,08:54AM
15,Apr-15-21,Advocacy group urges Zuckerberg to cancel plans to launch Instagram for kids,fb,08:34AM
16,Apr-15-21,UPDATE 1-Facebook signs renewable energy deal in India; says it has reached net zero,fb,08:09AM
17,Apr-15-21,1 Growth Engine Facebook Investors Shouldn't Overlook,fb,07:14AM
18,Apr-15-21,Facebook is testing new video speed dating app called Sparked,fb,06:13AM
19,Apr-15-21,"Facebooks controversial WhatsApp update may be abusive exploitation of data, says regulator",fb,05:49AM
20,Apr-15-21,Facebook Supreme Court Weighs Trumps Social Media Fate,fb,04:00AM
21,Apr-15-21,Facebook signs renewable energy deal in India; says it has reached net zero,fb,03:07AM
22,Apr-15-21,Facebook signs renewable energy deal in India; says it has reached net zero,fb,03:05AM
23,Apr-15-21,Facebook signs first deal to buy renewable energy in India,fb,03:01AM
24,Apr-15-21,Grab CEO Tan to Get Majority Voting Control in Record SPAC Deal,fb,02:27AM
25,Apr-14-21,Facebook urged to scrap plans to build Instagram for under-13s,fb,08:12PM
26,Apr-14-21,"Instagram, Facebook users could soon be able to hide like counts",fb,05:17PM
27,Apr-14-21,Ireland privacy regulator to investigate Facebook over massive data dump,fb,05:11PM
28,Apr-14-21,'I think the market is going to take a break here for a while': Annandale Capital CEO,fb,04:28PM
29,Apr-14-21,Instagram and Facebook to let people hide numbers of likes in an attempt to stop pressure,fb,01:07PM
30,Apr-14-21,Facebook Faces Formal Irish Privacy Probe Into Data Leak,fb,12:24PM
31,Apr-14-21,Wedbush Adds Alphabet Stock To Best Ideas List: What You Need To Know,fb,11:56AM
32,Apr-14-21,UPDATE 2-Ireland launches inquiry into Facebook after reports of data leak,fb,11:40AM
33,Apr-14-21,Instagram launches test where users can choose to see likes,fb,11:12AM
34,Apr-14-21,Instagram launches test where users can choose to see likes,fb,11:00AM
35,Apr-14-21,Facebook Will Let Users Eliminate Like Count in Expanded Test,fb,11:00AM
36,Apr-14-21,Ireland launches inquiry into Facebook after reports of data leak,fb,10:59AM
37,Apr-14-21,Wall Street Roundup: Bullish & Bearish Calls Of The Day,fb,08:45AM
38,Apr-14-21,Facebook Investigated by Irish Commission Over Data Leaks,fb,08:02AM
39,Apr-14-21,Jack Mas Double-Whammy Marks End of China Techs Golden Age,fb,04:28AM
40,Apr-14-21,"Calculating The Fair Value Of Facebook, Inc. (NASDAQ:FB)",fb,03:00AM
41,Apr-13-21,"Oakmark Funds Purchased Facebook (FB), Heres Why it Became Bullish in the Company",fb,06:28PM
42,Apr-13-21,Is GBTC Stock A Good Buy As Bitcoin Play Eyes New Buy Point?,fb,06:01PM
43,Apr-13-21,"IBD Stock Research Screener Shows Facebook, FedEx, Logitech And BlackRock In Buy Ranges",fb,04:24PM
44,Apr-13-21,Facebook tests video speed dating for 'kind people',fb,12:15PM
45,Apr-13-21,Apple to Hold First Product Unveiling of the Year on April 20,fb,12:07PM
46,Apr-13-21,Facebook and Instagram users will be able to appeal to companys supreme court over other peoples posts,fb,11:27AM
47,Apr-13-21,Facebook Oversight Board Expands List of Possible Cases,fb,11:05AM
48,Apr-13-21,Facebook Expands Oversight Board's Scope For Platform Content Review: Report,fb,10:33AM
49,Apr-13-21,Alibaba: Is the Worst Over Now?,fb,09:29AM
50,Apr-13-21,German regulator acts to halt 'illegal' WhatsApp data collection,fb,09:19AM
51,Apr-13-21,German regulator acts to halt 'illegal' WhatsApp data collection,fb,09:09AM
52,Apr-13-21,Facebook oversight board widens scope to rule on content left up on platform,fb,08:19AM
53,Apr-13-21,UPDATE 3-Facebook oversight board widens scope to rule on content left up on platform,fb,08:17AM
54,Apr-13-21,Facebook oversight board widens scope to rule on content left up on platform,fb,08:16AM
55,Apr-13-21,German Regulator Seeks Order To Prohibit Facebook From WhatsApp's Data Collection: Bloomberg,fb,08:06AM
56,Apr-13-21,Facebook oversight board widens scope to rule on content left up on platform,fb,08:00AM
57,Apr-13-21,Is Facebook Stock a Buy?,fb,07:15AM
58,Apr-12-21,Momentum builds for US laws to protect children from Big Tech,fb,08:00PM
59,Apr-12-21,Facebook opposes adding civil-rights expert to its board,fb,06:13PM
60,Apr-12-21,"West Virginia will now give you $12,000 to move to its state and work remotely",fb,12:54PM
61,Apr-12-21,Why Facebook (FB) is Poised to Beat Earnings Estimates Again,fb,12:10PM
62,Apr-12-21,"Facebook CEO Mark Zuckerberg's base pay stays at $1, but total compensation rises to $25.3 million",fb,10:12AM
63,Apr-12-21,Apple (AAPL) to Testify at Senate Hearing on Antitrust Issues,fb,08:54AM
64,Apr-12-21,Why stocks are at a record even with the dark cloud of higher taxes hanging overhead,fb,06:57AM
65,Apr-12-21,Oracles Years-Long Washington Offense Ends in Trio of Defeats,fb,06:00AM
66,Apr-12-21,"Apple Working on Combined TV Box, Speaker to Revive Home Efforts",fb,06:00AM
67,Apr-12-21,"3 No-Brainer Stocks to Buy With $3,000 Right Now",fb,05:51AM
68,Apr-12-21,Record Alibaba Fine Shows Chinas Big Tech Cant Fight Back,fb,02:28AM
69,Apr-10-21,"Saverins B Capital, Others Invest $1 Billion in Indias Byjus",fb,10:58AM
70,Apr-10-21,Why Snap Inc. Shares Could Leave Investors Ghosted,fb,09:08AM
71,Apr-09-21,Top 10 S&P 500 Stocks by Index Weight,fb,11:20PM
72,Apr-09-21,Facebook: The Classic Toll Bridge,fb,08:04PM
73,Apr-09-21,"Facebook algorithm shows its users different job ads based on gender, study finds",fb,04:47PM
74,Apr-09-21,Facebook Converts Part Of Menlo Park Headquarters To Vaccination Site: Report,fb,11:45AM
75,Apr-09-21,Facebook Removes 16K Accounts For Fake Review Trading After UK CMA's Second Intervention: Report,fb,11:40AM
76,Apr-09-21,Patreon CEO breaks down the future of the creator economy,fb,11:10AM
77,Apr-09-21,Facebook to turn Menlo Park headquarters into vaccination site,fb,10:09AM
78,Apr-09-21,Facebook to turn Menlo Park headquarters into vaccination site,fb,10:04AM
79,Apr-09-21,COVID-19 is no longer markets greatest risk: strategist,fb,09:58AM
80,Apr-09-21,Better Buy: Facebook vs. Google,fb,09:05AM
81,Apr-09-21,Facebook Turns Part of Headquarters Campus Into a Vaccine Site,fb,09:00AM
82,Apr-09-21,Study flags gender bias in Facebook's ads tools,fb,08:11AM
83,Apr-09-21,Study flags gender bias in Facebook's ads tools,fb,08:00AM
84,Apr-09-21,"Facebook removes 16,000 groups as UK competition regulator tackles fake reviews",fb,07:43AM
85,Apr-09-21,"FAANG Bites: Amazon Union, Facebook's Clubhouse Rival",fb,06:18AM
86,Apr-09-21,"CORRECTED-UPDATE 1-Facebook axes 16,000 groups for trading fake reviews after UK intervenes",fb,06:09AM
87,Apr-09-21,Digital divide is 'a serious issue': Gerald Chertavian,fb,06:00AM
88,Apr-09-21,3 Robinhood Stocks That Are Ridiculously Cheap,fb,05:52AM
89,Apr-09-21,"Facebook axes 16,000 groups for trading fake reviews after UK intervenes",fb,05:34AM
90,Apr-08-21,Facebook and Instagram down for millions of users worldwide,fb,07:13PM
91,Apr-08-21,UPDATE 2-Facebook services back up for thousands of users after outage,fb,06:05PM
92,Apr-08-21,Facebook (FB) Stock Sinks As Market Gains: What You Should Know,fb,05:45PM
93,Apr-08-21,"Facebook, Instagram Hit by Brief but Widespread Outages",fb,05:41PM
94,Apr-08-21,"Biden's Tax Plan: What It Means For Amazon, Google, Facebook, Apple, Microsoft",fb,04:17PM
95,Apr-08-21,Muslim Advocacy Group Sue Facebook For Failure In Controlling Anti-Muslim Hate Speech: Bloomberg,fb,03:08PM
96,Apr-08-21,Gupshup CEO on $100M funding: It accelerates our vision of conversational messaging,fb,02:54PM
97,Apr-08-21,Is Shopify Stock A Buy As New Chart Pattern Forms?,fb,01:49PM
98,Apr-08-21,U.S.-based Muslim advocacy group sues Facebook over claims it removes hate speech,fb,01:37PM
99,Apr-08-21,FTC slams Facebook as personal social networking monopoly in latest filing,fb,01:01PM
100,Apr-16-21,"Tesla, ex-engineer settle lawsuit over Autopilot source code",tsla,05:27AM
101,Apr-16-21,"Tesla, ex-engineer settle lawsuit over Autopilot source code",tsla,05:15AM
102,Apr-16-21,"Tesla, ex-engineer settle lawsuit over Autopilot source code",tsla,05:12AM
103,Apr-16-21,Tesla has made $1 billion from its bitcoin investment in just 10 weeks,tsla,04:52AM
104,Apr-16-21,Bitcoin price drops after Turkey bans cryptocurrency payments,tsla,03:59AM
105,Apr-15-21,No cop on the beat: Greenlights Einhorn blasts weak regulators,tsla,08:00PM
106,Apr-15-21,Mercedes kick-starts Tesla offensive with luxury electric car,tsla,08:00PM
107,Apr-15-21,U.S. Exposes Hackers Helpers to Punish Russian Attacks,tsla,06:17PM
108,Apr-15-21,Tesla (TSLA) Gains But Lags Market: What You Should Know,tsla,05:45PM
109,Apr-15-21,"Investor Einhorn says Palihapitiya, Musk poured 'jet fuel' on GameStop",tsla,05:25PM
110,Apr-15-21,Walmart bets on GM's Cruise self-driving unit,tsla,05:06PM
111,Apr-15-21,"ARK Invest Stocks To Buy And Watch: 5 Stocks That Cathie Wood's ARK ETFs Own, Like Square and Tesla",tsla,04:02PM
112,Apr-15-21,Tesla self-driving truck rival TuSimple raises $1 billion in IPO valuing it at $8.5 billion,tsla,02:49PM
113,Apr-15-21,Autotrader reveals 10 best electric cars of 2021,tsla,02:42PM
114,Apr-15-21,PODCAST: Investing Green in a White-Hot Market,tsla,01:55PM
